Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,CAP
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.2,$1.06B,1986,n/a,n/a,https://www.nasdaq.com/symbol/fax,#VALUE!
BTG,B2Gold Corp,2.25,$2.22B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/btg,#VALUE!
CCF,Chase Corporation,124.2,$1.17B,n/a,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ccf,#VALUE!
CQH,"Cheniere Energy Partners LP Holdings, LLC",30.65,$7.1B,2013,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/cqh,#VALUE!
CQP,"Cheniere Energy Partners, LP",38.34,$18.56B,2007,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/cqp,#VALUE!
LNG,"Cheniere Energy, Inc.",63.5,$15.76B,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/lng,#VALUE!
EVV,Eaton Vance Limited Duration Income Fund,12.64,$1.47B,2003,n/a,n/a,https://www.nasdaq.com/symbol/evv,#VALUE!
GTE,Gran Tierra Energy Inc.,3.25,$1.27B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gte,#VALUE!
SIM,"Grupo Simec, S.A. de C.V.",9.6661,$1.6B,1993,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/sim,#VALUE!
IMO,Imperial Oil Limited,32.27,$25.9B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/imo,#VALUE!
NHC,National HealthCare Corporation,76.12,$1.16B,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/nhc,#VALUE!
NSU,Nevsun Resources Ltd,3.78,$1.14B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nsu,#VALUE!
NG,Novagold Resources Inc.,4.38,$1.41B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ng,#VALUE!
PRK,Park National Corporation,112.65,$1.78B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/prk,#VALUE!
UTG,Reaves Utility Income Fund,31.1,$1.51B,2004,n/a,n/a,https://www.nasdaq.com/symbol/utg,#VALUE!
SEB,Seaboard Corporation,3675,$4.3B,1996,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/seb,#VALUE!
SRCI,SRC Energy Inc.,9.27,$2.24B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/srci,#VALUE!
TMP,Tompkins Financial Corporation,86.84,$1.32B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/tmp,#VALUE!
