Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,CAP
SRCE,1st Source Corporation,56.67,$1.47B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,#VALUE!
VNET,"21Vianet Group, Inc.",9.31,$1.04B,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,#VALUE!
TWOU,"2U, Inc.",74.4,$4.22B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,#VALUE!
JOBS,"51job, Inc.",70.08,$4.33B,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,#VALUE!
EGHT,8x8 Inc,22.45,$2.09B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/eght,#VALUE!
SHLM,"A. Schulman, Inc.",43.85,$1.29B,1972,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/shlm,#VALUE!
AAON,"AAON, Inc.",39.75,$2.08B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,#VALUE!
ABMD,"ABIOMED, Inc.",371.25,$16.66B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,#VALUE!
ACIA,"Acacia Communications, Inc.",39.08,$1.57B,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,#VALUE!
ACHC,"Acadia Healthcare Company, Inc.",38.88,$3.43B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,#VALUE!
ACAD,ACADIA Pharmaceuticals Inc.,14.33,$1.79B,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,#VALUE!
AXDX,"Accelerate Diagnostics, Inc.",22.95,$1.24B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx,#VALUE!
XLRN,Acceleron Pharma Inc.,47.62,$2.18B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn,#VALUE!
ACIW,"ACI Worldwide, Inc.",27.22,$3.17B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw,#VALUE!
ACOR,"Acorda Therapeutics, Inc.",28.45,$1.34B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor,#VALUE!
ATVI,"Activision Blizzard, Inc",71.29,$54.27B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi,#VALUE!
ACXM,Acxiom Corporation,44.05,$3.41B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/acxm,#VALUE!
ADBE,Adobe Systems Incorporated,256.05,$125.38B,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe,#VALUE!
AEIS,"Advanced Energy Industries, Inc.",60.04,$2.36B,1995,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis,#VALUE!
