Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,CAP
BANC,"Banc of California, Inc.",20,$1.01B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/banc,#VALUE!
WOW,"WideOpenWest, Inc.",11.8,$1.01B,2017,Consumer Services,Television Services,https://www.nasdaq.com/symbol/wow,#VALUE!
FOR,Forestar Group Inc,24.3,$1.02B,2017,Finance,Real Estate,https://www.nasdaq.com/symbol/for,#VALUE!
GPRK,Geopark Ltd,16.89,$1.02B,2014,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gprk,#VALUE!
TOO,Teekay Offshore Partners L.P.,2.49,$1.02B,2006,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/too,#VALUE!
INSP,"Inspire Medical Systems, Inc.",48.15,$1.03B,1998,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/insp,#VALUE!
RGR,"Sturm, Ruger & Company, Inc.",58.95,$1.03B,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/rgr,#VALUE!
ASIX,AdvanSix Inc.,34.2,$1.04B,2016,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/asix,#VALUE!
EXTN,Exterran Corporation,28.8,$1.04B,2015,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/extn,#VALUE!
GMS,GMS Inc.,25.25,$1.04B,2016,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/gms,#VALUE!
KMG,"KMG Chemicals, Inc.",66.84,$1.04B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/kmg,#VALUE!
STG,Sunlands Online Education Group,6,$1.04B,2018,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/stg,#VALUE!
CODI,Compass Diversified Holdings,17.6,$1.05B,2006,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/codi,#VALUE!
ETM,Entercom Communications Corp.,7.55,$1.05B,1999,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/etm,#VALUE!
RPT,Ramco-Gershenson Properties Trust,13.15,$1.05B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/rpt,#VALUE!
WNC,Wabash National Corporation,18.08,$1.05B,1991,Capital Goods,Construction/Ag Equipment/Trucks,https://www.nasdaq.com/symbol/wnc,#VALUE!
EEQ,Enbridge Energy Management LLC,10.67,$1.06B,2002,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eeq,#VALUE!
KREF,KKR Real Estate Finance Trust Inc.,20.04,$1.06B,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/kref,#VALUE!
RYAM,Rayonier Advanced Materials Inc.,20.42,$1.06B,2014,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ryam,#VALUE!
STC,Stewart Information Services Corporation,44.83,$1.06B,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/stc,#VALUE!
AGS,"PlayAGS, Inc.",30.48,$1.07B,2018,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/ags,#VALUE!
CEM,ClearBridge Energy MLP Fund Inc.,15.14,$1.07B,2010,n/a,n/a,https://www.nasdaq.com/symbol/cem,#VALUE!
NMFC,New Mountain Finance Corporation,14.05,$1.07B,2011,n/a,n/a,https://www.nasdaq.com/symbol/nmfc,#VALUE!
NRK,Nuveen New York AMT-Free Quality Municipal,12.18,$1.07B,2002,n/a,n/a,https://www.nasdaq.com/symbol/nrk,#VALUE!
VSTO,Vista Outdoor Inc.,18.6,$1.07B,2015,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/vsto,#VALUE!
GLOP,GasLog Partners LP,24.7,$1.08B,2014,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/glop,#VALUE!
JQC,Nuveen Credit Strategies Income Fund,7.92,$1.08B,2003,n/a,n/a,https://www.nasdaq.com/symbol/jqc,#VALUE!
AG,First Majestic Silver Corp.,5.62,$1.09B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ag,#VALUE!
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",20.41,$1.09B,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hasi,#VALUE!
KAI,Kadant Inc,98.45,$1.09B,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/kai,#VALUE!
TGI,"Triumph Group, Inc.",21.95,$1.09B,1996,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/tgi,#VALUE!
CDE,"Coeur Mining, Inc.",5.95,$1.11B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/cde,#VALUE!
NCI,"Navigant Consulting, Inc.",24.55,$1.11B,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/nci,#VALUE!
PDS,Precision Drilling Corporation,3.79,$1.11B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/pds,#VALUE!
RFP,Resolute Forest Products Inc.,12.25,$1.11B,n/a,Basic Industries,Paper,https://www.nasdaq.com/symbol/rfp,#VALUE!
KNL,"Knoll, Inc.",22.65,$1.12B,2004,Consumer Durables,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/knl,#VALUE!
REVG,"REV Group, Inc.",17.34,$1.12B,2017,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/revg,#VALUE!
ALG,"Alamo Group, Inc.",97.36,$1.13B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/alg,#VALUE!
HCLP,Hi-Crush Partners LP,12.8,$1.13B,2012,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/hclp,#VALUE!
